[2024-08-20 16:55:03,606: ERROR: 2771052960: Error in the pipeline execution: DataIngestionConfig.__init__() got an unexpected keyword argument 'class_dirs']
[2024-08-20 16:59:48,337: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-08-20 16:59:48,344: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-08-20 16:59:53,683: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-08-20 17:00:07,084: INFO: 2771052960: Initializing ConfigurationManager]
[2024-08-20 17:00:07,089: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-08-20 17:00:07,094: INFO: common: yaml file: params.yaml loaded successfully]
[2024-08-20 17:00:07,100: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-08-20 17:00:07,104: INFO: common: yaml file: params.yaml loaded successfully]
[2024-08-20 17:00:07,106: INFO: common: created directory at: artifacts]
[2024-08-20 17:00:07,107: INFO: 2771052960: Retrieving data ingestion configuration]
[2024-08-20 17:00:07,110: INFO: common: created directory at: artifacts/data_ingestion]
[2024-08-20 17:00:07,111: INFO: 2771052960: Initializing DataIngestion]
[2024-08-20 17:00:07,114: INFO: 2771052960: Downloading file]
[2024-08-20 17:00:07,116: ERROR: 2771052960: Attribute error: module 'urllib.request' has no attribute 'exceptions']
[2024-08-20 17:08:34,077: INFO: 2771052960: Initializing ConfigurationManager]
[2024-08-20 17:08:34,082: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-08-20 17:08:34,087: INFO: common: yaml file: params.yaml loaded successfully]
[2024-08-20 17:08:34,094: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-08-20 17:08:34,098: INFO: common: yaml file: params.yaml loaded successfully]
[2024-08-20 17:08:34,102: INFO: common: created directory at: artifacts]
[2024-08-20 17:08:34,103: INFO: 2771052960: Retrieving data ingestion configuration]
[2024-08-20 17:08:34,106: INFO: common: created directory at: artifacts/data_ingestion]
[2024-08-20 17:08:34,108: INFO: 2771052960: Initializing DataIngestion]
[2024-08-20 17:08:34,109: INFO: 2771052960: Downloading file]
[2024-08-20 17:08:38,443: INFO: 3862538793: artifacts/data_ingestion/Images.zip downloaded successfully!]
[2024-08-20 17:08:38,486: INFO: 2771052960: Extracting zip file]
[2024-08-20 17:08:39,308: INFO: 3862538793: Extraction completed successfully into artifacts/data_ingestion/extracted_data]
[2024-08-20 17:08:39,311: WARNING: 3862538793: Folder 'Cargo' is missing!]
[2024-08-20 17:08:39,312: WARNING: 3862538793: Folder 'Carrier' is missing!]
[2024-08-20 17:08:39,314: WARNING: 3862538793: Folder 'Cruise' is missing!]
[2024-08-20 17:08:39,316: WARNING: 3862538793: Folder 'Tanker' is missing!]
[2024-08-20 17:08:39,317: WARNING: 3862538793: Folder 'Military' is missing!]
[2024-08-21 11:42:49,798: INFO: main: >>>>>> stage Data Ingestion stage started <<<<<<]
[2024-08-21 11:42:49,798: INFO: stage_01_data_ingestion: Initializing ConfigurationManager]
[2024-08-21 11:42:49,854: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-08-21 11:42:49,902: INFO: common: yaml file: params.yaml loaded successfully]
[2024-08-21 11:42:49,913: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-08-21 11:42:49,918: INFO: common: yaml file: params.yaml loaded successfully]
[2024-08-21 11:42:49,920: INFO: common: created directory at: artifacts]
[2024-08-21 11:42:49,920: INFO: stage_01_data_ingestion: Retrieving data ingestion configuration]
[2024-08-21 11:42:49,923: INFO: common: created directory at: artifacts/data_ingestion]
[2024-08-21 11:42:49,923: INFO: stage_01_data_ingestion: Initializing DataIngestion]
[2024-08-21 11:42:49,924: INFO: stage_01_data_ingestion: Downloading file]
[2024-08-21 11:42:49,926: INFO: data_ingestion: File already exists with size: 4775636]
[2024-08-21 11:42:49,927: INFO: stage_01_data_ingestion: Extracting zip file]
[2024-08-21 11:42:50,571: INFO: data_ingestion: Extraction completed successfully into artifacts/data_ingestion/extracted_data]
[2024-08-21 11:42:50,572: WARNING: data_ingestion: Folder 'Cargo' is missing!]
[2024-08-21 11:42:50,573: WARNING: data_ingestion: Folder 'Carrier' is missing!]
[2024-08-21 11:42:50,574: WARNING: data_ingestion: Folder 'Cruise' is missing!]
[2024-08-21 11:42:50,574: WARNING: data_ingestion: Folder 'Tanker' is missing!]
[2024-08-21 11:42:50,575: WARNING: data_ingestion: Folder 'Military' is missing!]
[2024-08-21 11:42:50,576: INFO: main: >>>>>> stage Data Ingestion stage completed <<<<<<

x==========x]
[2024-08-21 11:46:55,885: INFO: main: >>>>>> stage Data Ingestion stage started <<<<<<]
[2024-08-21 11:46:55,886: INFO: stage_01_data_ingestion: Initializing ConfigurationManager]
[2024-08-21 11:46:55,889: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-08-21 11:46:55,892: INFO: common: yaml file: params.yaml loaded successfully]
[2024-08-21 11:46:55,897: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-08-21 11:46:55,899: INFO: common: yaml file: params.yaml loaded successfully]
[2024-08-21 11:46:55,900: INFO: common: created directory at: artifacts]
[2024-08-21 11:46:55,901: INFO: stage_01_data_ingestion: Retrieving data ingestion configuration]
[2024-08-21 11:46:55,901: INFO: common: created directory at: artifacts/data_ingestion]
[2024-08-21 11:46:55,903: INFO: stage_01_data_ingestion: Initializing DataIngestion]
[2024-08-21 11:46:55,903: INFO: stage_01_data_ingestion: Downloading file]
[2024-08-21 11:46:55,903: INFO: data_ingestion: File already exists with size: 4775636]
[2024-08-21 11:46:55,904: INFO: stage_01_data_ingestion: Extracting zip file]
[2024-08-21 11:46:56,524: INFO: data_ingestion: Extraction completed successfully into artifacts/data_ingestion/extracted_data]
[2024-08-21 11:46:56,525: INFO: main: >>>>>> stage Data Ingestion stage completed <<<<<<

x==========x]
[2024-08-22 10:44:37,609: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-08-22 10:44:37,640: INFO: common: yaml file: params.yaml loaded successfully]
[2024-08-22 10:44:37,643: INFO: common: created directory at: artifacts]
[2024-08-22 10:44:37,646: INFO: common: created directory at: artifacts/prepare_base_model]
[2024-08-22 10:52:23,802: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-08-22 10:52:23,808: INFO: common: yaml file: params.yaml loaded successfully]
[2024-08-22 10:52:23,810: INFO: common: created directory at: artifacts]
